f,m,n,declension
soleāta,soleātus,soleātum,I_II
solida,solidus,solidum,I_II
solistima,solistimus,solistimum,I_II
sōlitāria,sōlitārius,sōlitārium,I_II
solita,solitus,solitum,I_II
sōlivaga,sōlivagus,sōlivagum,I_II
sollemnis,sollemnis,sollemne,III
sollers,sollers,sollers,III
sollicita,sollicitus,sollicitum,I_II
sōlstitiālis,sōlstitiālis,sōlstitiāle,III
sōla,sōlus,sōlum,I_II
solūta,solūtus,solūtum,I_II
somnīculōsa,somnīculōsus,somnīculōsum,I_II
somnifera,somnifer,somniferum,I_II
sonābilis,sonābilis,sonābile,III
sonāns,sonāns,sonāns,III
sonipēs,sonipēs,sonipēs,III
sonivia,sonivius,sonivium,I_II
sonōra,sonōrus,sonōrum,I_II
sontica,sonticus,sonticum,I_II
sopha,sophus,sophum,I_II
sopōrāta,sopōrātus,sopōrātum,I_II
sopōrifera,sopōrifer,sopōriferum,I_II
sopōra,sopōrus,sopōrum,I_II
sordidāta,sordidātus,sordidātum,I_II
sordidula,sordidulus,sordidulum,I_II
sordida,sordidus,sordidum,I_II
sorōria,sorōrius,sorōrium,I_II
sortilega,sortilegus,sortilegum,I_II
sōspes,sōspes,sōspes,III
spādīx,spādīx,spādīx,III
spatiōsa,spatiōsus,spatiōsum,I_II
speciōsa,speciōsus,speciōsum,I_II
spectābilis,spectābilis,spectābile,III
spectāta,spectātus,spectātum,I_II
speculābunda,speculābundus,speculābundum,I_II
speculātōria,speculātōrius,speculātōrium,I_II
spernenda,spernendus,spernendum,I_II
spīcea,spīceus,spīceum,I_II
spīnea,spīneus,spīneum,I_II
spīnigera,spīniger,spīnigerum,I_II
spīnōsa,spīnōsus,spīnōsum,I_II
spīrābilis,spīrābilis,spīrābile,III
spissāta,spissātus,spissātum,I_II
spissa,spissus,spissum,I_II
splendida,splendidus,splendidum,I_II
spoliāta,spoliātus,spoliātum,I_II
spūmea,spūmeus,spūmeum,I_II
spūmifera,spūmifer,spūmiferum,I_II
spūmigera,spūmiger,spūmigerum,I_II
spūmōsa,spūmōsus,spūmōsum,I_II
spurcāta,spurcātus,spurcātum,I_II
spurca,spurcus,spurcum,I_II
spūtātilica,spūtātilicus,spūtātilicum,I_II
squālida,squālidus,squālidum,I_II
squāmea,squāmeus,squāmeum,I_II
squāmigera,squāmiger,squāmigerum,I_II
squāmōsa,squāmōsus,squāmōsum,I_II
stabilis,stabilis,stabile,III
stāminea,stāmineus,stāmineum,I_II
statāria,statārius,statārium,I_II
statīva,statīvus,statīvum,I_II
stata,status,statum,I_II
stellāns,stellāns,stellāns,III
stellāta,stellātus,stellātum,I_II
stellifera,stellifer,stelliferum,I_II
stelligera,stelliger,stelligerum,I_II
sterilis,sterilis,sterile,III
sternāx,sternāx,sternāx,III
stīpendiāria,stīpendiārius,stīpendiārium,I_II
stlāttāria,stlāttārius,stlāttārium,I_II
Stōica,Stōicus,Stōicum,I_II
stolida,stolidus,stolidum,I_II
stomachōsa,stomachōsus,stomachōsum,I_II
strāgula,strāgulus,strāgulum,I_II
strāminea,strāmineus,strāmineum,I_II
strāta,strātus,strātum,I_II
strēnua,strēnuus,strēnuum,I_II
stricta,strictus,strictum,I_II
strīdula,strīdulus,strīdulum,I_II
strūmōsa,strūmōsus,strūmōsum,I_II
studiōsa,studiōsus,studiōsum,I_II
stulta,stultus,stultum,I_II
stupēns,stupēns,stupēns,III
stupida,stupidus,stupidum,I_II
stūppea,stūppeus,stūppeum,I_II
Stygia,Stygius,Stygium,I_II
Stymphālis,Stymphālis,Stymphāle,III
Stymphālia,Stymphālius,Stymphālium,I_II
suāviloquēns,suāviloquēns,suāviloquēns,III
suāvis,suāvis,suāve,III
subabsurda,subabsurdus,subabsurdum,I_II
subagrestis,subagrestis,subagreste,III
subālāris,subālāris,subālāre,III
subamāra,subamārus,subamārum,I_II
subcrīspa,subcrīspus,subcrīspum,I_II
subdēficiēns,subdēficiēns,subdēficiēns,III
subdifficilis,subdifficilis,subdifficile,III
subditīva,subditīvus,subditīvum,I_II
subdola,subdolus,subdolum,I_II
subhorrida,subhorridus,subhorridum,I_II
subiacēns,subiacēns,subiacēns,III
subiecta,subiectus,subiectum,I_II
subimpudēns,subimpudēns,subimpudēns,III
subinānis,subinānis,subināne,III
subinsulsa,subinsulsus,subinsulsum,I_II
subinvīsa,subinvīsus,subinvīsum,I_II
subīrāta,subīrātus,subīrātum,I_II
subitāria,subitārius,subitārium,I_II
subita,subitus,subitum,I_II
sublāta,sublātus,sublātum,I_II
sublicia,sublicius,sublicium,I_II
sublīmis,sublīmis,sublīme,III
sublīma,sublīmus,sublīmum,I_II
sublūstris,sublūstris,sublūstre,III
submissa,submissus,submissum,I_II
submolesta,submolestus,submolestum,I_II
submōrōsa,submōrōsus,submōrōsum,I_II
subnūbila,subnūbilus,subnūbilum,I_II
subobscēna,subobscēnus,subobscēnum,I_II
subobscūra,subobscūrus,subobscūrum,I_II
subodiōsa,subodiōsus,subodiōsum,I_II
subrancida,subrancidus,subrancidum,I_II
subrauca,subraucus,subraucum,I_II
subrūstica,subrūsticus,subrūsticum,I_II
subsicīva,subsicīvus,subsicīvum,I_II
subsidiāria,subsidiārius,subsidiārium,I_II
subsīgnāna,subsīgnānus,subsīgnānum,I_II
substricta,substrictus,substrictum,I_II
subterrānea,subterrāneus,subterrāneum,I_II
subtīlis,subtīlis,subtīle,III
subtrīstis,subtrīstis,subtrīste,III
subturpicula,subturpiculus,subturpiculum,I_II
subturpis,subturpis,subturpe,III
Subūrāna,Subūrānus,Subūrānum,I_II
suburbāna,suburbānus,suburbānum,I_II
subvexa,subvexus,subvexum,I_II
succidua,succiduus,succiduum,I_II
sūcida,sūcidus,sūcidum,I_II
sūda,sūdus,sūdum,I_II
suēta,suētus,suētum,I_II
suffecta,suffectus,suffectum,I_II
sufficiēns,sufficiēns,sufficiēns,III
suffusca,suffuscus,suffuscum,I_II
suggrandis,suggrandis,suggrande,III
suīlla,suīllus,suīllum,I_II
sulfurea,sulfureus,sulfureum,I_II
Sullāna,Sullānus,Sullānum,I_II
summa,summus,summum,I_II
sūmptuāria,sūmptuārius,sūmptuārium,I_II
sūmptuōsa,sūmptuōsus,sūmptuōsum,I_II
superābilis,superābilis,superābile,III
superba,superbus,superbum,I_II
superfīxa,superfīxus,superfīxum,I_II
superfluēns,superfluēns,superfluēns,III
superlāta,superlātus,superlātum,I_II
superna,supernus,supernum,I_II
superstes,superstes,superstes,III
superstitiōsa,superstitiōsus,superstitiōsum,I_II
supera,superus,superum,I_II
supervacānea,supervacāneus,supervacāneum,I_II
supervacua,supervacuus,supervacuum,I_II
supīna,supīnus,supīnum,I_II
suppar,suppar,suppar,III
suppernāta,suppernātus,suppernātum,I_II
supplex,supplex,supplex,III
suppressa,suppressus,suppressum,I_II
surdastera,surdaster,surdasterum,I_II
surda,surdus,surdum,I_II
suspecta,suspectus,suspectum,I_II
suspēnsa,suspēnsus,suspēnsum,I_II
suspicāx,suspicāx,suspicāx,III
suspīciōsa,suspīciōsus,suspīciōsum,I_II
susurra,susurrus,susurrum,I_II
sūtilis,sūtilis,sūtile,III
sūtōria,sūtōrius,sūtōrium,I_II
sūtrīna,sūtrīnus,sūtrīnum,I_II
symphōniaca,symphōniacus,symphōniacum,I_II
Syrācosia,Syrācosius,Syrācosium,I_II
Syra,Syrus,Syrum,I_II
tabellāria,tabellārius,tabellārium,I_II
tābida,tābidus,tābidum,I_II
tābifica,tābificus,tābificum,I_II
taciturna,taciturnus,taciturnum,I_II
tacita,tacitus,tacitum,I_II
taedifera,taedifer,taediferum,I_II
taetera,taeter,taeterum,I_II
tagāx,tagāx,tagāx,III
tālāris,tālāris,tālāre,III
tālāria,tālārius,tālārium,I_II
tālis,tālis,tāle,III
tantilla,tantillus,tantillum,I_II
tantula,tantulus,tantulum,I_II
tanta,tantus,tantum,I_II
tardigrada,tardigradus,tardigradum,I_II
tardipēs,tardipēs,tardipēs,III
tardiuscula,tardiusculus,tardiusculum,I_II
tarda,tardus,tardum,I_II
Tarpēia,Tarpēius,Tarpēium,I_II
Tarquiniēnsis,Tarquiniēnsis,Tarquiniēnse,III
Tartarea,Tartareus,Tartareum,I_II
taurea,taureus,taureum,I_II
taurifōrmis,taurifōrmis,taurifōrme,III
taurīna,taurīnus,taurīnum,I_II
tēctōria,tēctōrius,tēctōrium,I_II
tēcta,tēctus,tēctum,I_II
Tegeaea,Tegeaeus,Tegeaeum,I_II
temerāria,temerārius,temerārium,I_II
temperāns,temperāns,temperāns,III
temperāta,temperātus,temperātum,I_II
tempestīva,tempestīvus,tempestīvum,I_II
temporālis,temporālis,temporāle,III
temporāria,temporārius,temporārium,I_II
temptābunda,temptābundus,temptābundum,I_II
tēmulenta,tēmulentus,tēmulentum,I_II
tenāx,tenāx,tenāx,III
tenebricōsa,tenebricōsus,tenebricōsum,I_II
tenebrica,tenebricus,tenebricum,I_II
tenebrōsa,tenebrōsus,tenebrōsum,I_II
tenellula,tenellulus,tenellulum,I_II
tenera,tener,tenerum,I_II
tenuicula,tenuiculus,tenuiculum,I_II
tenuis,tenuis,tenue,III
tepida,tepidus,tepidum,I_II
teres,teres,teres,III
tergemina,tergeminus,tergeminum,I_II
ternīa,ternī,ternīum,I_II
terna,ternus,ternum,I_II
terrēna,terrēnus,terrēnum,I_II
terrestris,terrestris,terrestre,III
terrea,terreus,terreum,I_II
terribilis,terribilis,terribile,III
terrifica,terrificus,terrificum,I_II
terrigenaa,terrigena,terrigenaum,I_II
tersa,tersus,tersum,I_II
tertiāna,tertiānus,tertiānum,I_II
tertia,tertius,tertium,I_II
testāmentāria,testāmentārius,testāmentārium,I_II
testāta,testātus,testātum,I_II
testūdinea,testūdineus,testūdineum,I_II
tetrica,tetricus,tetricum,I_II
Teucra,Teucrus,Teucrum,I_II
textilis,textilis,textile,III
theātrālis,theātrālis,theātrāle,III
Theōnīna,Theōnīnus,Theōnīnum,I_II
Thespias,Thespias,Thespias,III
thȳia,thȳius,thȳium,I_II
Tīburna,Tīburnus,Tīburnum,I_II
Tīburs,Tīburs,Tīburs,III
tīgnāria,tīgnārius,tīgnārium,I_II
timefacta,timefactus,timefactum,I_II
timēns,timēns,timēns,III
timida,timidus,timidum,I_II
tinctilis,tinctilis,tinctile,III
tinnula,tinnulus,tinnulum,I_II
Tīrynthia,Tīrynthius,Tīrynthium,I_II
Titiēnsis,Titiēnsis,Titiēnse,III
Tmōlītes,Tmōlītes,Tmōlītes,III
togāta,togātus,togātum,I_II
tolerābilis,tolerābilis,tolerābile,III
toleranda,tolerandus,tolerandum,I_II
tolerāns,tolerāns,tolerāns,III
tonāns,tonāns,tonāns,III
tōnsōria,tōnsōrius,tōnsōrium,I_II
topiāria,topiārius,topiārium,I_II
torminōsa,torminōsus,torminōsum,I_II
torōsa,torōsus,torōsum,I_II
torpida,torpidus,torpidum,I_II
torquāta,torquātus,torquātum,I_II
torrēns,torrēns,torrēns,III
torrida,torridus,torridum,I_II
tortilis,tortilis,tortile,III
tortuōsa,tortuōsus,tortuōsum,I_II
torta,tortus,tortum,I_II
torva,torvus,torvum,I_II
tota,tot,totum,I_II
totidema,totidem,totidemum,I_II
trabālis,trabālis,trabāle,III
trabeāta,trabeātus,trabeātum,I_II
tractābilis,tractābilis,tractābile,III
tracta,tractus,tractum,I_II
tragica,tragicus,tragicum,I_II
tranquilla,tranquillus,tranquillum,I_II
trānsalpīna,trānsalpīnus,trānsalpīnum,I_II
trānsfōrmis,trānsfōrmis,trānsfōrme,III
trānslātīcia,trānslātīcius,trānslātīcium,I_II
trānslātīva,trānslātīvus,trānslātīvum,I_II
trānsmarīna,trānsmarīnus,trānsmarīnum,I_II
trānsmontāna,trānsmontānus,trānsmontānum,I_II
Trānspadāna,Trānspadānus,Trānspadānum,I_II
trānsrhēnāna,trānsrhēnānus,trānsrhēnānum,I_II
trānsversāria,trānsversārius,trānsversārium,I_II
trānsversa,trānsversus,trānsversum,I_II
trecentēsima,trecentēsimus,trecentēsimum,I_II
tremebunda,tremebundus,tremebundum,I_II
tremenda,tremendus,tremendum,I_II
tremula,tremulus,tremulum,I_II
trepida,trepidus,trepidum,I_II
trēs,trēs,trēs,III
triangula,triangulus,triangulum,I_II
tribuāria,tribuārius,tribuārium,I_II
tribūnīcia,tribūnīcius,tribūnīcium,I_II
tribūtāria,tribūtārius,tribūtārium,I_II
tribūta,tribūtus,tribūtum,I_II
trīceps,trīceps,trīceps,III
trīcēsima,trīcēsimus,trīcēsimum,I_II
tridēns,tridēns,tridēns,III
triēris,triēris,triēre,III
trietērica,trietēricus,trietēricum,I_II
trifaux,trifaux,trifaux,III
trifida,trifidus,trifidum,I_II
trifōrmis,trifōrmis,trifōrme,III
trigemina,trigeminus,trigeminum,I_II
trilībris,trilībris,trilībre,III
trilinguis,trilinguis,trilingue,III
trilīx,trilīx,trilīx,III
trīma,trīmus,trīmum,I_II
Trīnacris,Trīnacris,Trīnacre,III
trinōdis,trinōdis,trinōde,III
tripedālis,tripedālis,tripedāle,III
tripēs,tripēs,tripēs,III
triplex,triplex,triplex,III
tripla,triplus,triplum,I_II
triquetra,triquetrus,triquetrum,I_II
trirēmis,trirēmis,trirēme,III
trīsticula,trīsticulus,trīsticulum,I_II
trīstifica,trīstificus,trīstificum,I_II
trīstis,trīstis,trīste,III
trisulca,trisulcus,trisulcum,I_II
trīticea,trīticeus,trīticeum,I_II
Trītōniaca,Trītōniacus,Trītōniacum,I_II
Trītōnia,Trītōnius,Trītōnium,I_II
trīta,trītus,trītum,I_II
triumphālis,triumphālis,triumphāle,III
triumphāns,triumphāns,triumphāns,III
triumvirālis,triumvirālis,triumvirāle,III
triviālis,triviālis,triviāle,III
trivia,trivius,trivium,I_II
Trōasa,Trōas,Trōasum,I_II
Trōiāna,Trōiānus,Trōiānum,I_II
Trōica,Trōicus,Trōicum,I_II
Trōia,Trōius,Trōium,I_II
truculenta,truculentus,truculentum,I_II
trunca,truncus,truncum,I_II
trux,trux,trux,III
Tulliāna,Tulliānus,Tulliānum,I_II
tumida,tumidus,tumidum,I_II
tumulōsa,tumulōsus,tumulōsum,I_II
tumultuāria,tumultuārius,tumultuārium,I_II
tumultuōsa,tumultuōsus,tumultuōsum,I_II
tunicāta,tunicātus,tunicātum,I_II
turbāta,turbātus,turbātum,I_II
turbida,turbidus,turbidum,I_II
turbinea,turbineus,turbineum,I_II
turbulenta,turbulentus,turbulentum,I_II
tūrea,tūreus,tūreum,I_II
turgidula,turgidulus,turgidulum,I_II
turgida,turgidus,turgidum,I_II
tūricrema,tūricremus,tūricremum,I_II
tūrifera,tūrifer,tūriferum,I_II
tūrilega,tūrilegus,tūrilegum,I_II
turmālis,turmālis,turmāle,III
turpicula,turpiculus,turpiculum,I_II
turpificāta,turpificātus,turpificātum,I_II
turpis,turpis,turpe,III
turrigera,turriger,turrigerum,I_II
turrīta,turrītus,turrītum,I_II
Tusca,Tuscus,Tuscum,I_II
tūta,tūtus,tūtum,I_II
tyrannica,tyrannicus,tyrannicum,I_II
ūber,ūber,ūber,III
ūda,ūdus,ūdum,I_II
ulcerōsa,ulcerōsus,ulcerōsum,I_II
ūlla,ūllus,ūllum,I_II
ulmea,ulmeus,ulmeum,I_II
ūlteriora,ūlterior,ūlteriorum,I_II
ūltima,ūltimus,ūltimum,I_II
ultrīx,ultrīx,ultrīx,III
umbrātilis,umbrātilis,umbrātile,III
umbrāta,umbrātus,umbrātum,I_II
umbrifera,umbrifer,umbriferum,I_II
umbrōsa,umbrōsus,umbrōsum,I_II
ūmidula,ūmidulus,ūmidulum,I_II
ūmida,ūmidus,ūmidum,I_II
ūmifera,ūmifer,ūmiferum,I_II
ūnanima,ūnanimus,ūnanimum,I_II
unciāria,unciārius,unciārium,I_II
uncīnāta,uncīnātus,uncīnātum,I_II
ūncta,ūnctus,ūnctum,I_II
unca,uncus,uncum,I_II
ūndecima,ūndecimus,ūndecimum,I_II
ūndēnīa,ūndēnī,ūndēnīum,I_II
ūndētrīoēnsima,ūndētrīoēnsimus,ūndētrīoēnsimum,I_II
ūndēvīcēsima,ūndēvīcēsimus,ūndēvīcēsimum,I_II
undisona,undisonus,undisonum,I_II
undōsa,undōsus,undōsum,I_II
unguentāta,unguentātus,unguentātum,I_II
ūnicolor,ūnicolor,ūnicolor,III
ūnica,ūnicus,ūnicum,I_II
ūnifōrmis,ūnifōrmis,ūnifōrme,III
ūnigenaa,ūnigena,ūnigenaum,I_II
ūnimana,ūnimanus,ūnimanum,I_II
ūniversa,ūniversus,ūniversum,I_II
ūna,ūnus,ūnum,I_II
urbāna,urbānus,urbānum,I_II
ūsitāta,ūsitātus,ūsitātum,I_II
ūtēnsilis,ūtēnsilis,ūtēnsile,III
ūtibilis,ūtibilis,ūtibile,III
ūtilis,ūtilis,ūtile,III
ūvidula,ūvidulus,ūvidulum,I_II
ūvida,ūvidus,ūvidum,I_II
uxōria,uxōrius,uxōrium,I_II
vacāns,vacāns,vacāns,III
Vacūnālis,Vacūnālis,Vacūnāle,III
vacua,vacuus,vacuum,I_II
vadōsa,vadōsus,vadōsum,I_II
vafera,vafer,vaferum,I_II
vaga,vagus,vagum,I_II
valēns,valēns,valēns,III
valida,validus,validum,I_II
vāllāris,vāllāris,vāllāre,III
vāniloqua,vāniloquus,vāniloquum,I_II
vāna,vānus,vānum,I_II
varicōsa,varicōsus,varicōsum,I_II
vārica,vāricus,vāricum,I_II
varia,varius,varium,I_II
vāra,vārus,vārum,I_II
vāstifica,vāstificus,vāstificum,I_II
vāsta,vāstus,vāstum,I_II
Vāticāna,Vāticānus,Vāticānum,I_II
vāticina,vāticinus,vāticinum,I_II
vēcors,vēcors,vēcors,III
vectīgālis,vectīgālis,vectīgāle,III
vectōria,vectōrius,vectōrium,I_II
vegeta,vegetus,vegetum,I_II
vēgrandis,vēgrandis,vēgrande,III
vehemēns,vehemēns,vehemēns,III
Vēientāna,Vēientānus,Vēientānum,I_II
vēlifera,vēlifer,vēliferum,I_II
vēlitāris,vēlitāris,vēlitāre,III
vēlivolāns,vēlivolāns,vēlivolāns,III
vēlivola,vēlivolus,vēlivolum,I_II
vēlōx,vēlōx,vēlōx,III
vēnālīcia,vēnālīcius,vēnālīcium,I_II
vēnālis,vēnālis,vēnāle,III
vēnātica,vēnāticus,vēnāticum,I_II
vēnātōria,vēnātōrius,vēnātōrium,I_II
vēndibilis,vēndibilis,vēndibile,III
venēfica,venēficus,venēficum,I_II
venēnāta,venēnātus,venēnātum,I_II
venēnifera,venēnifer,venēniferum,I_II
venerābilis,venerābilis,venerābile,III
venerābunda,venerābundus,venerābundum,I_II
veneranda,venerandus,venerandum,I_II
Veneria,Venerius,Venerium,I_II
veneta,venetus,venetum,I_II
ventōsa,ventōsus,ventōsum,I_II
venusta,venustus,venustum,I_II
vēpallida,vēpallidus,vēpallidum,I_II
vērāx,vērāx,vērāx,III
verbōsa,verbōsus,verbōsum,I_II
verēcunda,verēcundus,verēcundum,I_II
verenda,verendus,verendum,I_II
vēridica,vēridicus,vēridicum,I_II
vermiculāta,vermiculātus,vermiculātum,I_II
vernācula,vernāculus,vernāculum,I_II
vernīlis,vernīlis,vernīle,III
vērna,vērnus,vērnum,I_II
verrīna,verrīnus,verrīnum,I_II
Verria,Verrius,Verrium,I_II
versābilis,versābilis,versābile,III
versātilis,versātilis,versātile,III
versāta,versātus,versātum,I_II
versicolor,versicolor,versicolor,III
versūtiloqua,versūtiloquus,versūtiloquum,I_II
versūta,versūtus,versūtum,I_II
verticōsa,verticōsus,verticōsum,I_II
vēra,vērus,vērum,I_II
verūta,verūtus,verūtum,I_II
vēsāniēns,vēsāniēns,vēsāniēns,III
vēsāna,vēsānus,vēsānum,I_II
vēsca,vēscus,vēscum,I_II
vespertīna,vespertīnus,vespertīnum,I_II
Vestālis,Vestālis,Vestāle,III
veterāna,veterānus,veterānum,I_II
veterātōria,veterātōrius,veterātōrium,I_II
veternōsa,veternōsus,veternōsum,I_II
vetula,vetulus,vetulum,I_II
vetus,vetus,vetus,III
vetusta,vetustus,vetustum,I_II
vīcāna,vīcānus,vīcānum,I_II
vīcēsimāria,vīcēsimārius,vīcēsimārium,I_II
vīcēsimusvīcēnsima,vīcēsimusvīcēnsimus,vīcēsimusvīcēnsimum,I_II
vīcīnālis,vīcīnālis,vīcīnāle,III
vīcīna,vīcīnus,vīcīnum,I_II
vidua,viduus,viduum,I_II
viēta,viētus,viētum,I_II
vigil,vigil,vigil,III
vigilāns,vigilāns,vigilāns,III
vigilāx,vigilāx,vigilāx,III
vīlis,vīlis,vīle,III
villōsa,villōsus,villōsum,I_II
vīminālis,vīminālis,vīmināle,III
vīminea,vīmineus,vīmineum,I_II
vīnācea,vīnāceus,vīnāceum,I_II
vīnāria,vīnārius,vīnārium,I_II
vincibilis,vincibilis,vincibile,III
vīnolenta,vīnolentus,vīnolentum,I_II
vīnōsa,vīnōsus,vīnōsum,I_II
violābilis,violābilis,violābile,III
violēns,violēns,violēns,III
violenta,violentus,violentum,I_II
vīperea,vīpereus,vīpereum,I_II
vīperīna,vīperīnus,vīperīnum,I_II
virdicāta,virdicātus,virdicātum,I_II
virgāta,virgātus,virgātum,I_II
virgea,virgeus,virgeum,I_II
virginālis,virginālis,virgināle,III
virginea,virgineus,virgineum,I_II
viridāns,viridāns,viridāns,III
viridis,viridis,viride,III
virīlis,virīlis,virīle,III
vīrōsa,vīrōsus,vīrōsum,I_II
vīscāta,vīscātus,vīscātum,I_II
vītābilis,vītābilis,vītābile,III
vītābunda,vītābundus,vītābundum,I_II
vītālis,vītālis,vītāle,III
vītea,vīteus,vīteum,I_II
vitiōsa,vitiōsus,vitiōsum,I_II
vitrea,vitreus,vitreum,I_II
vittāta,vittātus,vittātum,I_II
vitulīna,vitulīnus,vitulīnum,I_II
vituperābilis,vituperābilis,vituperābile,III
vīvāx,vīvāx,vīvāx,III
vīvida,vīvidus,vīvidum,I_II
vīva,vīvus,vīvum,I_II
vōcālis,vōcālis,vōcāle,III
vocīvosa,vocīvos,vocīvosum,I_II
volātica,volāticus,volāticum,I_II
volātilis,volātilis,volātile,III
Volcānia,Volcānius,Volcānium,I_II
volēma,volēmus,volēmum,I_II
volēns,volēns,volēns,III
volgāris,volgāris,volgāre,III
volgāta,volgātus,volgātum,I_II
volnifica,volnificus,volnificum,I_II
voltuōsa,voltuōsus,voltuōsum,I_II
volūbilis,volūbilis,volūbile,III
volucer,volucer,volucer,III
voluntāria,voluntārius,voluntārium,I_II
voluptāria,voluptārius,voluptārium,I_II
volūtābunda,volūtābundus,volūtābundum,I_II
vorāx,vorāx,vorāx,III
vōtīva,vōtīvus,vōtīvum,I_II
zēlotypa,zēlotypus,zēlotypum,I_II
zōnāria,zōnārius,zōnārium,I_II
